hole_id,x,y,z,totallength
BLDD001,685123.3,99052.4,483.176,76.8
BLDD002,685155.2,99005.555,481.285,60.3
BLDD003GT,684890.2,99097.93,463.532,184.7
BLDD004,685083.8,99121.4,487.479,37.8
BLDD005,684844.56,99222.22,476.234,193.8
BLDD006,685167.4,98840.414,465.921,75.3
BLDD007,684887.44,99036.6,459.4,288
BLDD008,685356.2,98803.27,483.887,235.8
BLDD009,684994.5,99099.41,440.856,205.8
BLDD010,685046.9,98956.586,422.623,319.9
LNDD001,684188.5,98523.78,418.696,177.1
LNDD002GT,683749.6,98057.92,425.913,325.9
LNDD003,684235.2,98561.125,431.214,250
LNDD004,684270.75,98598.125,446.062,243
LNDD005,683719.6,98816.85,551.851,500.5
LNDD006,684133.06,98687.164,486.182,228.5
LNDD007,684306.3,98406.75,457.71,225.1
LNDD008,683716.8,98454.15,499.483,256.6
LNDD009,683861.4,98532.93,488.935,25.6
LNDD009R,683860.7,98532.91,489.125,109
LNDD010,683781.8,98509.93,488.067,155
YNDD001,684760.4,98709.54,386.653,240.1
YNDD002,684990.3,98627.99,371.57,302.19
YNDD003,684836.9,98737.73,383.809,281.05
YNDD004,684519.8,98572.516,393.824,87
YNDD005,684950.6,98871.61,414.588,53.3
YNDD006,684526.44,98879.11,452.264,262
YNDD006R,684527.8,98879.195,452.865,450
YNDD007,684572.44,98995.04,448.327,325.45
YNDD007R,684572,98991.945,448.411,475.2
YNDD008,684827.3,98947.85,436.752,343.3
YNDD009,684514.1,98783.58,452.573,340.6
YNDD010,684918.7,98849.95,412.515,276.1
YNDD011,684446.44,98741.1,462.068,326.2
YNDD012,684362.3,98688.58,473.363,325.1
YNDD013,684826.94,98948.61,436.934,415.7
YNDD014GT,684352.8,98821.8,490.212,145.7
YNDD014GTR,684349.8,98823.3,490.455,388.55
YNDD015,684482.3,98921.65,482.023,487.2
YNDD016,684596.3,99013.32,448.473,453.45
